"age_group","sex","patient_type","comorbidity","day_1","day_2","day_3","day_4","day_5","day_6","day_7","day_8","day_9","day_10","day_11","day_12","day_13","day_14","day_15","day_16","day_17","day_18","day_19","day_20","day_21","day_22","day_23","day_24","day_25","day_26","day_27","day_28","day_29","day_30"
"[ 18 , 24 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","F","H","0",0.999194106585907,0.999194106585907,0.998384486360107,0.997574164258866,0.995117410620495,0.995117410620495,0.995117410620495,0.99428238422571,0.99343823273888,0.99343823273888,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990902649813764,0.990056902739716,0.989211155665711,0.989211155665711,0.987514032002668
"[ 18 , 24 ]","F","H","1",0.99803288765074,0.99803288765074,0.99609105685167,0.994181168214599,0.988587717221446,0.988587717221446,0.988587717221446,0.98675118648161,0.984926506741864,0.984926506741864,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.979630532565394,0.977923128290913,0.976244032399943,0.976244032399943,0.972957212297858
"[ 18 , 24 ]","M","H","0",0.997442445745169,0.996160330192393,0.98971832529248,0.984518547053049,0.984518547053049,0.979260986930596,0.979260986930596,0.975284825576919,0.975284825576919,0.975284825576919,0.972626958456812,0.969940830166819,0.969940830166819,0.969940830166819,0.968587645178065,0.968587645178065,0.967232437902654,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279,0.965869108238279
"[ 18 , 24 ]","M","H","1",0.99387383438283,0.99092684947335,0.977247579258943,0.967410414144963,0.967410414144963,0.958388540492372,0.958388540492372,0.952103043174543,0.952103043174543,0.952103043174543,0.948132476891315,0.944292470486017,0.944292470486017,0.944292470486017,0.942419979904484,0.942419979904484,0.940584387597325,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886,0.938776492304886
"[ 25 , 29 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","F","H","0",0.998334035337426,0.998334035337426,0.996661811057334,0.9949895867779,0.989928561133995,0.989928561133995,0.989928561133995,0.98821140335566,0.986477045623605,0.986477045623605,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.981277005290219,0.979545681623926,0.977815936947814,0.977815936947814,0.974349696870235
"[ 25 , 29 ]","F","H","1",0.995971173230349,0.995971173230349,0.99206999554452,0.988304516957305,0.977666522414879,0.977666522414879,0.977666522414879,0.974294720222354,0.971001213458966,0.971001213458966,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.961746847747611,0.958855514663365,0.956053983648847,0.956053983648847,0.950685895394681
"[ 25 , 29 ]","M","H","0",0.994717902397126,0.992075395302352,0.978853024391604,0.968247168898692,0.968247168898692,0.957584117839758,0.957584117839758,0.94956041340576,0.94956041340576,0.94956041340576,0.94421640631073,0.938831400949741,0.938831400949741,0.938831400949741,0.93612463330164,0.93612463330164,0.933417865658992,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618,0.93069895936618
"[ 25 , 29 ]","M","H","1",0.987705081206196,0.982046303879031,0.957723450278138,0.941955132029216,0.941955132029216,0.928551465701174,0.928551465701174,0.919730493838412,0.919730493838412,0.919730493838412,0.914353673316032,0.909286067585561,0.909286067585561,0.909286067585561,0.906859565235665,0.906859565235665,0.904508023063702,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224,0.902217397588224
"[ 30 , 34 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
