"age_group","sex","comorbidity","ckd_group","count_","prob_SA","prob_SH","prob_SR"
"[ 18 , 24 ]","F",0,0,372157.4,0.34282457,0.00236150000000002,0.65481393
"[ 18 , 24 ]","F",1,0,23660.95,0.3966768,0.00573942000000005,0.59758378
"[ 18 , 24 ]","M",0,0,302899.15,0.34006649,0.00142374000000001,0.65850977
"[ 18 , 24 ]","M",1,0,16811.55,0.40654491,0.00468130000000011,0.58877379
"[ 25 , 29 ]","F",0,0,377058.75,0.36575308,0.00232272,0.6319242
"[ 25 , 29 ]","F",1,0,31147,0.42244197,0.00494590000000006,0.57261213
"[ 25 , 29 ]","M",0,0,303531.5,0.35701484,0.00175550000000002,0.64122966
"[ 25 , 29 ]","M",1,0,22940.45,0.42506577,0.00566902000000002,0.56926521
"[ 30 , 34 ]","F",0,0,367873.45,0.37730801,0.00251838999999998,0.6201736
"[ 30 , 34 ]","F",1,0,38930.15,0.43938567,0.00654504999999994,0.55406928
"[ 30 , 34 ]","M",0,0,294040.05,0.36546909,0.00203526999999992,0.63249564
"[ 30 , 34 ]","M",1,0,27616.6,0.44975124,0.00597104000000004,0.54427772
"[ 35 , 39 ]","F",0,0,321150.45,0.39093936,0.00239995999999998,0.60666068
"[ 35 , 39 ]","F",1,0,43908.75,0.43856634,0.00566515999999995,0.5557685
"[ 35 , 39 ]","M",0,0,245874.5,0.36559973,0.00214417999999994,0.63225609
"[ 35 , 39 ]","M",1,0,28885.15,0.43932955,0.00745365999999992,0.55321679
"[ 40 , 44 ]","F",0,0,283176,0.39973462,0.00230422000000008,0.59796116
"[ 40 , 44 ]","F",1,0,50911.15,0.44554778,0.00527684000000006,0.54917538
"[ 40 , 44 ]","M",0,0,211293.7,0.36969157,0.00300032999999988,0.6273081
"[ 40 , 44 ]","M",1,0,33128.9,0.43766017,0.00801264000000002,0.55432719
"[ 45 , 49 ]","F",0,0,267225.5,0.40535409,0.00239405000000004,0.59225186
"[ 45 , 49 ]","F",1,0,68392.25,0.44590871,0.00607305999999996,0.54801823
"[ 45 , 49 ]","M",0,0,195966.8,0.37575855,0.00386493999999993,0.62037651
"[ 45 , 49 ]","M",1,0,40985,0.43736489,0.01005002,0.55258509
"[ 50 , 54 ]","F",0,0,235560.3,0.40033847,0.00281286999999997,0.59684866
"[ 50 , 54 ]","F",1,0,80798.45,0.43079787,0.00713441999999997,0.56206771
"[ 50 , 54 ]","M",0,0,167430.8,0.37464523,0.00476136999999999,0.6205934
"[ 50 , 54 ]","M",1,0,44458.85,0.42535738,0.01353949,0.56110313
"[ 55 , 59 ]","F",0,0,172212.45,0.39283484,0.00407462000000003,0.60309054
"[ 55 , 59 ]","F",1,0,73752.7,0.42439938,0.0101081,0.56549252
"[ 55 , 59 ]","M",0,0,125812.85,0.37092674,0.00615636000000008,0.6229169
"[ 55 , 59 ]","M",1,0,43531.35,0.4227103,0.01660757,0.56068213
"[ 60 , 64 ]","F",0,0,115179.8,0.37139629,0.00543888000000003,0.62316483
"[ 60 , 64 ]","F",1,0,58403.7,0.40457796,0.01362157,0.58180047
"[ 60 , 64 ]","M",0,0,88406.5,0.36381601,0.00887491000000007,0.62730908
"[ 60 , 64 ]","M",1,0,36751.75,0.40192372,0.02191188,0.5761644
"[ 65 , 69 ]","F",0,0,69984.7,0.36003012,0.0101165,0.62985338
"[ 65 , 69 ]","F",1,0,42893.1,0.39345139,0.02283002,0.58371859
"[ 65 , 69 ]","M",0,0,55600.15,0.3546825,0.01629761,0.62901989
"[ 65 , 69 ]","M",1,0,28008.25,0.3879714,0.03526283,0.57676577
"[ 70 , 74 ]","F",0,0,40154.1,0.35086703,0.0156198299999999,0.63351314
"[ 70 , 74 ]","F",1,0,28847.7,0.37476298,0.0368001600000001,0.58843686
"[ 70 , 74 ]","M",0,0,33904.3,0.35798262,0.0229336600000001,0.61908372
"[ 70 , 74 ]","M",1,0,19479.15,0.37520374,0.05226614,0.57253012
"[ 75 , 79 ]","F",0,0,23632.75,0.33923898,0.0249526600000001,0.63580836
"[ 75 , 79 ]","F",1,0,18975.4,0.35650895,0.0569342399999999,0.58655681
"[ 75 , 79 ]","M",0,0,19780.05,0.35713004,0.0388194100000001,0.60405055
"[ 75 , 79 ]","M",1,0,13083.3,0.35667607,0.08568557,0.55763836
"[ 80 , 84 ]","F",0,0,12543.6,0.32754552,0.0435560800000001,0.6288984
"[ 80 , 84 ]","F",1,0,11193,0.33124721,0.0895113,0.57924149
"[ 80 , 84 ]","M",0,0,10486.05,0.34610268,0.06717019,0.58672713
"[ 80 , 84 ]","M",1,0,7758.25,0.32611736,0.14338929,0.53049335
"[ 85 , 89 ]","F",0,0,6120.3,0.31831773,0.0643677599999999,0.61731451
"[ 85 , 89 ]","F",1,0,6086.6,0.28740183,0.12837217,0.584226
"[ 85 , 89 ]","M",0,0,4692.1,0.32136996,0.0951173299999999,0.58351271
"[ 85 , 89 ]","M",1,0,3940.15,0.2819182,0.19399008,0.52409172
"[ 90 , Older )","F",0,0,4351.8,0.28117101,0.0815065,0.63732249
"[ 90 , Older )","F",1,0,3378.8,0.25765065,0.18312714,0.55922221
"[ 90 , Older )","M",0,0,3490.05,0.28475237,0.1105285,0.60471913
"[ 90 , Older )","M",1,0,2201.95,0.25111833,0.24764413,0.50123754
"[ 18 , 24 ]","F",1,1,673.65,0.28553403,0.03970905,0.67475692
"[ 18 , 24 ]","M",1,1,632.3,0.27123201,0.0328166999999999,0.69595129
"[ 25 , 29 ]","F",1,1,830.25,0.35904848,0.04137308,0.59957844
"[ 25 , 29 ]","M",1,1,829.05,0.26168506,0.04426754,0.6940474
"[ 30 , 34 ]","F",1,1,1074.4,0.30896314,0.05682241,0.63421445
"[ 30 , 34 ]","M",1,1,1050.35,0.28419098,0.05164945,0.66415957
"[ 35 , 39 ]","F",1,1,919.8,0.36078495,0.06659057,0.57262448
"[ 35 , 39 ]","M",1,1,886.35,0.3199639,0.0544931399999999,0.62554296
"[ 40 , 44 ]","F",1,1,1032.85,0.3225541,0.06104468,0.61640122
"[ 40 , 44 ]","M",1,1,992.4,0.27367997,0.07940346,0.64691657
"[ 45 , 49 ]","F",1,1,1343.25,0.34591476,0.06621999,0.58786525
"[ 45 , 49 ]","M",1,1,1204.2,0.29430327,0.0988623199999999,0.60683441
"[ 50 , 54 ]","F",1,1,1544.25,0.33113162,0.0597701099999999,0.60909827
"[ 50 , 54 ]","M",1,1,1651.35,0.28388894,0.12102219,0.59508887
"[ 55 , 59 ]","F",1,1,1622.85,0.32159473,0.0979449699999999,0.5804603
"[ 55 , 59 ]","M",1,1,1774.8,0.25963489,0.14255127,0.59781384
"[ 60 , 64 ]","F",1,1,1452.5,0.28244406,0.10048193,0.61707401
"[ 60 , 64 ]","M",1,1,1576.75,0.22806406,0.14498176,0.62695418
"[ 65 , 69 ]","F",1,1,1341.2,0.24791232,0.14132866,0.61075902
"[ 65 , 69 ]","M",1,1,1367.6,0.2445525,0.19175929,0.56368821
"[ 70 , 74 ]","F",1,1,1037.2,0.26595642,0.14650019,0.58754339
"[ 70 , 74 ]","M",1,1,1134.55,0.22515535,0.17945441,0.59539024
"[ 75 , 79 ]","F",1,1,751.85,0.24532819,0.20083793,0.55383388
"[ 75 , 79 ]","M",1,1,709.65,0.22729515,0.19678714,0.57591771
"[ 80 , 84 ]","F",1,1,532.4,0.2663411,0.24530428,0.48835462
"[ 80 , 84 ]","M",1,1,555.7,0.19497931,0.29530322,0.50971747
"[ 85 , 89 ]","F",1,1,339.1,0.18150988,0.17679151,0.64169861
"[ 85 , 89 ]","M",1,1,252.75,0.22987141,0.30267063,0.46745796
"[ 90 , Older )","F",1,1,124.4,0.17403537,0.26085209,0.56511254
"[ 90 , Older )","M",1,1,197,0.16319797,0.37309645,0.46370558
