"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,2095132.76022896,2996304.86489524,5091437.6251242,0
2,1545069.04773545,401805.784297449,1946874.8320329,0
3,1008942.26664635,245622.014549329,1254564.28119568,0
4,682796.037520481,175382.586698931,858178.624219412,0
5,465439.518442189,128433.321991019,593872.840433207,0
6,31186.5076332422,93932.8986117071,125119.406244949,0
7,21289.6612763654,68343.7107295022,89633.3720058677,0
8,14541.1208585125,49467.9287410352,64009.0495995477,0
9,9932.62781963416,35640.9052009266,45573.5330205608,0
10,6784.94167325399,25572.0618972583,32357.0035705123,0
11,4634.04234826237,18282.3358405929,22916.3781888552,0
12,3165.32296203219,13028.7480604769,16194.0710225091,0
13,2161.90190203955,9258.23292817459,11420.1348302141,0
14,1476.58065477289,6562.39118337895,8038.97183815184,0
15,1008.57883124523,4640.90317554183,5649.48200678705,0
16,688.897089550054,3275.00616008463,3963.90324963469,0
17,470.492815557334,2306.78922356759,2777.28203912492,0
18,321.365130022521,1622.06673716072,1943.43186718324,0
19,219.513159940137,1138.84487248179,1358.35803242193,0
20,149.95389120703,798.424289523183,948.378180730213,0
21,102.433065362289,559.025010186932,661.458075549221,0
22,69.9749483553461,390.924537605912,460.899485961259,0
23,47.8004013101445,273.063036115053,320.863437425197,0
24,32.6538607175189,190.536355855054,223.190216572573,0
25,22.3070011946959,132.820732014412,155.127733209108,0
26,15.2386222986077,92.5012609686793,107.739883267287,0
27,10.4096023200728,64.3666669483336,74.7762692684063,0
28,7.11122282604,44.7537994778351,51.8650223038751,85.2647139813816
