"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
10212175.9261524,32388700.0927784,42600876.0189308,0,195966,"strategy","rrr_pxlvd","0.7213",0.7213,42600876.0189308,0
10212175.9261524,32388700.0927784,42600876.0189308,0,195966,"strategy","rrr_pxlvd","0.9556",0.9556,42600876.0189308,0
10591229.534413,28189802.017888,38781031.552301,0,195966,"strategy","rrr_rmsvr","0.4141",0.4141,38781031.552301,0
10137959.5824679,34996769.2118236,45134728.7942915,0,195966,"strategy","rrr_rmsvr","0.9688",0.9688,45134728.7942915,0
10212175.9261524,32388700.0927784,42600876.0189308,0,195966,"strategy","cost_A_pxlvd_drugs","51.6",51.6,42600876.0189308,0
10212175.9261524,32388700.0927784,42600876.0189308,0,195966,"strategy","cost_A_pxlvd_drugs","262.6",262.6,42600876.0189308,0
10212175.9261524,32388700.0927784,42600876.0189308,0,195966,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,42600876.0189308,0
10212175.9261524,32388700.0927784,42600876.0189308,0,195966,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,42600876.0189308,0
8519194.13452268,27487580.1856395,36006774.3201622,0,195966,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,36006774.3201622,0
11765633.4292494,36885757.5726384,48651391.0018878,0,195966,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,48651391.0018878,0
