"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv","rrr_pxlvd","rrr_rmsvr","cost_A_pxlvd_drugs","prob_AH_pxlvd","prob_AH_syntc",".strategy_names",".index",".cost",".effect"
12565582.9080532,7974036.72139565,20539619.6294488,165.795993611412,115179,0.883791968773836,0.786841516501516,105.958798178559,0.011,0.063,"strategy",1,20539619.6294488,165.795993611412
14209487.5324411,6397749.37360808,20607236.9060491,85.560578578122,115179,0.877552944056127,0.537213578360881,119.904407090948,0.003,0.057,"strategy",2,20607236.9060491,85.560578578122
11959689.470586,7206343.10770572,19166032.5782917,220.161794575295,115179,0.772906724872397,0.691681440333021,100.622742170277,0.008,0.057,"strategy",3,19166032.5782917,220.161794575295
14232180.465442,6803640.61145374,21035821.0768958,104.10246523923,115179,0.882853685719472,0.977993736529565,120.213811041043,0.005,0.056,"strategy",4,21035821.0768958,104.10246523923
13202102.4728271,7582063.69313359,20784166.1659607,148.442382872464,115179,0.880546061277996,0.674332604331511,111.453296639108,0.009,0.073,"strategy",5,20784166.1659607,148.442382872464
12560421.2112243,7808654.75328015,20369075.9645045,239.792259345761,115179,0.809396048020575,0.907477612644336,105.955027165321,0.011,0.069,"strategy",6,20369075.9645045,239.792259345761
12246077.8561831,6020534.14655057,18266612.0027337,51.9654476855727,115179,0.904018396937943,0.82156169140007,102.888858172275,0.001,0.064,"strategy",7,18266612.0027337,51.9654476855727
12143737.8825643,7105640.68876337,19249378.5713276,69.6629996116126,115179,0.935948184028914,0.717434481181363,102.106554357946,0.006,0.063,"strategy",8,19249378.5713276,69.6629996116126
11697676.7985981,7734612.60037725,19432289.3989754,82.5526660421668,115179,0.941082808796427,0.633215898356654,98.2776603493723,0.009,0.073,"strategy",9,19432289.3989754,82.5526660421668
12491432.6420253,7157363.73632066,19648796.3783459,143.16625366931,115179,0.860707864885506,0.904295655232202,105.189043602411,0.007,0.077,"strategy",10,19648796.3783459,143.16625366931
14115333.5417787,7903630.7700642,22018964.3118429,11.5673202241657,115179,0.992675601172344,1.03370146315292,119.371461586625,0.009,0.068,"strategy",11,22018964.3118429,11.5673202241657
13458520.7691134,6671476.54949837,20129997.3186118,64.4449960470914,115179,0.925644853248852,0.709299697916069,113.445753968686,0.004,0.064,"strategy",12,20129997.3186118,64.4449960470914
11233435.735864,7438625.12885413,18672060.8647182,115.931511718027,115179,0.903869520954977,1.00402666135843,94.2306335240872,0.008,0.059,"strategy",13,18672060.8647182,115.931511718027
