"S","R","D","A","H","I"
0,3507450,0,2163294,41141,0
0,4204331,168,1404020,93517,9849
0,4700502,1220,912736,58421,39005
0,5033649,4494,594348,36732,42661
0,5256185,7980,387675,23211,36833
0,5404224,10965,253297,14688,28710
0,5502382,13279,165780,9309,21135
0,5567311,14979,108685,5902,15008
0,5610184,16182,71375,3748,10396
0,5638463,17013,46952,2382,7075
0,5657103,17578,30937,1515,4752
0,5669386,17956,20418,965,3160
0,5677480,18208,13498,615,2085
0,5682815,18373,8937,392,1367
0,5686334,18481,5926,251,892
0,5688657,18552,3936,160,580
0,5690191,18597,2618,103,376
0,5691206,18627,1744,66,243
0,5691877,18646,1163,42,157
0,5692322,18658,777,27,101
0,5692617,18666,519,18,65
0,5692813,18671,348,11,42
0,5692943,18674,233,7,27
0,5693030,18676,156,5,17
0,5693088,18678,105,3,11
0,5693127,18679,71,2,7
0,5693152,18679,48,1,5
0,5693170,18679,32,1,3
