"exec","age_group","sex","comorbidity","covid","binary_patient_type","death","count","obesity","diabetes","hyperten","ckd","cardio","copd","asthma","immuno","hiv"
1,"[ 18 , 24 ]","F",0,0,"A",23,240908,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","F",1,0,"A",3,14112,6160,965,1074,395,620,188,5161,501,130
1,"[ 18 , 24 ]","F",0,1,"A",10,128067,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","F",1,1,"A",4,9587,4859,586,657,182,349,124,3348,239,92
1,"[ 18 , 24 ]","F",0,0,"H",0,2440,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","F",1,0,"H",0,400,115,99,79,75,51,9,72,99,12
1,"[ 18 , 24 ]","F",0,1,"H",0,819,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","F",1,1,"H",0,159,54,49,35,21,12,4,29,31,6
2,"[ 18 , 24 ]","F",0,0,"A",12,241009,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","F",1,0,"A",5,14198,6250,929,1080,375,597,173,5237,475,126
2,"[ 18 , 24 ]","F",0,1,"A",6,127771,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","F",1,1,"A",4,9594,4765,635,662,189,304,143,3396,272,80
2,"[ 18 , 24 ]","F",0,0,"H",0,2489,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","F",1,0,"H",0,398,104,106,84,84,61,15,95,108,17
2,"[ 18 , 24 ]","F",0,1,"H",0,860,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","F",1,1,"H",0,173,64,34,31,27,26,3,36,42,7
3,"[ 18 , 24 ]","F",0,0,"A",16,241098,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","F",1,0,"A",6,14371,6241,1046,1112,387,641,206,5253,486,113
3,"[ 18 , 24 ]","F",0,1,"A",20,127412,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","F",1,1,"A",5,9625,4803,599,715,194,349,135,3379,259,68
3,"[ 18 , 24 ]","F",0,0,"H",0,2551,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","F",1,0,"H",0,398,110,104,80,87,45,5,67,106,10
3,"[ 18 , 24 ]","F",0,1,"H",0,876,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","F",1,1,"H",0,161,56,50,33,25,19,2,35,44,8
4,"[ 18 , 24 ]","F",0,0,"A",11,241146,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","F",1,0,"A",7,13956,5958,1003,1048,394,619,206,5165,507,126
4,"[ 18 , 24 ]","F",0,1,"A",10,127911,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","F",1,1,"A",3,9511,4799,592,643,201,327,142,3366,257,88
4,"[ 18 , 24 ]","F",0,0,"H",0,2499,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","F",1,0,"H",0,391,107,106,75,66,63,4,61,84,7
4,"[ 18 , 24 ]","F",0,1,"H",0,929,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","F",1,1,"H",0,149,71,45,31,22,18,6,30,38,9
5,"[ 18 , 24 ]","F",0,0,"A",25,241922,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","F",1,0,"A",3,14234,6217,966,1099,356,625,195,5340,464,140
5,"[ 18 , 24 ]","F",0,1,"A",9,127025,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","F",1,1,"A",2,9459,4895,596,600,186,331,132,3267,250,73
5,"[ 18 , 24 ]","F",0,0,"H",0,2441,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","F",1,0,"H",0,386,117,116,83,73,55,13,73,112,19
5,"[ 18 , 24 ]","F",0,1,"H",0,847,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","F",1,1,"H",0,178,74,52,38,22,23,8,35,44,7
6,"[ 18 , 24 ]","F",0,0,"A",14,241334,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","F",1,0,"A",11,14224,6126,990,1096,407,569,185,5245,497,151
6,"[ 18 , 24 ]","F",0,1,"A",18,127490,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","F",1,1,"A",4,9418,4838,616,607,203,293,128,3230,252,70
6,"[ 18 , 24 ]","F",0,0,"H",0,2525,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","F",1,0,"H",0,409,120,110,79,73,55,7,81,99,13
6,"[ 18 , 24 ]","F",0,1,"H",0,910,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","F",1,1,"H",0,182,65,54,42,30,20,5,38,43,7
7,"[ 18 , 24 ]","F",0,0,"A",13,241049,0,0,0,0,0,0,0,0,0
7,"[ 18 , 24 ]","F",1,0,"A",1,14389,6218,907,1086,363,626,198,5424,476,143
7,"[ 18 , 24 ]","F",0,1,"A",15,127671,0,0,0,0,0,0,0,0,0
7,"[ 18 , 24 ]","F",1,1,"A",2,9628,4844,625,637,197,336,130,3406,261,84
7,"[ 18 , 24 ]","F",0,0,"H",0,2355,0,0,0,0,0,0,0,0,0
