age_group,sex,comorbidity,ckd_group,count_,prob_SA,prob_SH,prob_SR,prob_AR,prob_HR,prob_IR,prob_ID,prob_AH_pxlvd,prob_AH_NO_pxlvd,prob_HI_rmsvr,prob_HI_NO_rmsvr,cost_A_pxlvd_treatment,cost_A_NO_pxlvd_treatment,cost_A_healthcare,cost_A_healthcare_DayOne,cost_H_rmsvr_treatment,cost_H_NO_rmsvr_treatment,cost_H_healthcare,cost_H_healthcare_DayOne,cost_I_medicine_treatment,cost_I_healthcare,cost_I_healthcare_DayOne
"[ 18 , 24 ]",F,0,0,372234,0.34404971,0.00220023,0.65375006,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 18 , 24 ]",F,1,0,23585,0.3987704,0.00585118,0.59537842,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 18 , 24 ]",M,0,0,302835,0.34176367,0.00148926,0.65674707,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 18 , 24 ]",M,1,0,16859,0.40921763,0.00545702,0.58532535,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 25 , 29 ]",F,0,0,376830,0.36571133,0.00227423,0.63201444,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 25 , 29 ]",F,1,0,31389,0.42447991,0.00471503,0.57080506,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 25 , 29 ]",M,0,0,303615,0.35736706,0.00168305,0.64094989,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 25 , 29 ]",M,1,0,22836,0.42503065,0.00613067,0.56883868,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 30 , 34 ]",F,0,0,367944,0.37754387,0.00258463,0.6198715,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 30 , 34 ]",F,1,0,38841,0.44211014,0.00653948,0.55135038,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 30 , 34 ]",M,0,0,294032,0.36505891,0.00199298,0.63294811,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 30 , 34 ]",M,1,0,27672,0.4515756,0.00686615,0.54155825,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 35 , 39 ]",F,0,0,320949,0.39086895,0.00227762,0.60685343,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 35 , 39 ]",F,1,0,44121,0.43949593,0.00577956,0.55472451,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 35 , 39 ]",M,0,0,245858,0.36524742,0.00207843,0.63267415,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 35 , 39 ]",M,1,0,28898,0.44013427,0.00768219,0.55218354,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 40 , 44 ]",F,0,0,282946,0.39982187,0.00234321,0.59783492,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 40 , 44 ]",F,1,0,51138,0.44305604,0.00524073,0.55170323,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 40 , 44 ]",M,0,0,211133,0.3707805,0.0028655,0.626354,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 40 , 44 ]",M,1,0,33276,0.4333153,0.00769323,0.55899147,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
"[ 45 , 49 ]",F,0,0,267351,0.40618887,0.00240134,0.59140979,NA,NA,NA,NA,NA,NA,NA,NA,105.875,7.991,0,113.749,389.953,7.991,501.234,831.14,125.889,677.086,1210.165
