"age_group","sex","patient_type","comorbidity","day_1","day_2","day_3","day_4","day_5","day_6","day_7","day_8","day_9","day_10","day_11","day_12","day_13","day_14","day_15","day_16","day_17","day_18","day_19","day_20","day_21","day_22","day_23","day_24","day_25","day_26","day_27","day_28","day_29","day_30"
"[ 18 , 24 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 18 , 24 ]","F","H",0,0.999838821317181,0.999838821317181,0.999676897272021,0.999514832851773,0.999023482124099,0.999023482124099,0.999023482124099,0.998856476845142,0.998687646547776,0.998687646547776,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998180529962753,0.998011380547943,0.997842231133142,0.997842231133142,0.997502806400534
"[ 18 , 24 ]","F","H",1,0.999606577530148,0.999606577530148,0.999218211370334,0.99883623364292,0.997717543444289,0.997717543444289,0.997717543444289,0.997350237296322,0.996985301348373,0.996985301348373,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995926106513079,0.995584625658183,0.995248806479989,0.995248806479989,0.994591442459572
"[ 18 , 24 ]","M","H",0,0.999488489149034,0.999232066038479,0.997943665058496,0.99690370941061,0.99690370941061,0.995852197386119,0.995852197386119,0.995056965115384,0.995056965115384,0.995056965115384,0.994525391691362,0.993988166033364,0.993988166033364,0.993988166033364,0.993717529035613,0.993717529035613,0.993446487580531,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656,0.993173821647656
"[ 18 , 24 ]","M","H",1,0.998774766876566,0.99818536989467,0.995449515851789,0.993482082828993,0.993482082828993,0.991677708098474,0.991677708098474,0.990420608634909,0.990420608634909,0.990420608634909,0.989626495378263,0.988858494097203,0.988858494097203,0.988858494097203,0.988483995980897,0.988483995980897,0.988116877519465,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977,0.987755298460977
"[ 25 , 29 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 25 , 29 ]","F","H",0,0.999666807067485,0.999666807067485,0.999332362211467,0.99899791735558,0.997985712226799,0.997985712226799,0.997985712226799,0.997642280671132,0.997295409124721,0.997295409124721,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.996255401058044,0.995909136324785,0.995563187389563,0.995563187389563,0.994869939374047
"[ 25 , 29 ]","F","H",1,0.99919423464607,0.99919423464607,0.998413999108904,0.997660903391461,0.995533304482976,0.995533304482976,0.995533304482976,0.994858944044471,0.994200242691793,0.994200242691793,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.992349369549522,0.991771102932673,0.991210796729769,0.991210796729769,0.990137179078936
"[ 25 , 29 ]","M","H",0,0.998943580479425,0.99841507906047,0.995770604878321,0.993649433779738,0.993649433779738,0.991516823567952,0.991516823567952,0.989912082681152,0.989912082681152,0.989912082681152,0.988843281262146,0.987766280189948,0.987766280189948,0.987766280189948,0.987224926660328,0.987224926660328,0.986683573131798,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236,0.986139791873236
"[ 25 , 29 ]","M","H",1,0.997541016241239,0.996409260775806,0.991544690055628,0.988391026405843,0.988391026405843,0.985710293140235,0.985710293140235,0.983946098767682,0.983946098767682,0.983946098767682,0.982870734663206,0.981857213517112,0.981857213517112,0.981857213517112,0.981371913047133,0.981371913047133,0.98090160461274,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645,0.980443479517645
"[ 30 , 34 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
