"age_group","sex","sospechosos_sinave_2022","confirmados_sinave_2022","avg_age","sospechosos_nacional_2022","confirmados_teo_nacional_2022"
"[ 18 , 24 ]","F",130487,45457,21.4435920819699,396492,183021
"[ 18 , 24 ]","M",105426,36411,21.426574089883,320343,146600
"[ 25 , 29 ]","F",134615,50208,27.0510938602682,409036,202150
"[ 25 , 29 ]","M",107716,39200,27.0548572171265,327301,157829
"[ 30 , 34 ]","F",134234,51804,31.9483290373527,407878,208576
"[ 30 , 34 ]","M",106204,39852,31.9336371511431,322707,160454
"[ 35 , 39 ]","F",120445,48118,36.9698036448171,365979,193735
"[ 35 , 39 ]","M",90716,34144,36.9607676705322,275646,137472
"[ 40 , 44 ]","F",110289,45128,41.9547733681509,335120,181697
"[ 40 , 44 ]","M",80767,30879,41.9477880817661,245415,124327
"[ 45 , 49 ]","F",110895,46202,47.0417782587132,336961,186021
"[ 45 , 49 ]","M",78378,30681,47.0330705044783,238156,123529
"[ 50 , 54 ]","F",104623,43110,51.9146554772851,317903,173572
"[ 50 , 54 ]","M",70277,27532,51.8857805540931,213541,110851
"[ 55 , 59 ]","F",81482,33256,56.9087773986893,247588,133897
"[ 55 , 59 ]","M",56316,22141,56.9246217771149,171119,89145
"[ 60 , 64 ]","F",57605,22519,61.8439197986286,175036,90667
"[ 60 , 64 ]","M",41709,16149,61.8248099930471,126735,65020
"[ 65 , 69 ]","F",37590,14557,66.8073157754722,114219,58610
"[ 65 , 69 ]","M",27966,10893,66.8413788171351,84976,43858
"[ 70 , 74 ]","F",23050,8900,71.8103253796096,70039,35834
"[ 70 , 74 ]","M",17942,7139,71.8203656225616,54518,28743
"[ 75 , 79 ]","F",14270,5511,76.7828311142256,43360,22189
"[ 75 , 79 ]","M",11049,4575,76.7675807765409,33573,18420
"[ 80 , 84 ]","F",7987,3162,81.7381995743083,24269,12731
"[ 80 , 84 ]","M",6187,2711,81.6946823985777,18800,10915
"[ 85 , 89 ]","F",4129,1645,86.7318963429402,12546,6623
"[ 85 , 89 ]","M",2924,1306,86.672024623803,8885,5258
"[ 90 , Older )","F",2585,1029,94.2649903288201,7855,4143
"[ 90 , Older )","M",1938,847,95.3565531475748,5889,3410
