"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,103129550.611,280266459.492,383396010.104,842067.999
2,105537720.975,88004963.145,193542684.119,574290.375
3,87159617.971,91946640.734,179106258.705,391666.036
4,57054554.532,70106924.813,127161479.345,267116.236
5,37387924.787,50920246.18,88308170.967,182173.273
6,12390892.886,35843119.731,48234012.617,124242.172
7,7857151.452,24680195.169,32537346.621,84733.162
8,4985444.638,16722269.313,21707713.951,57788.016
9,3165435.074,11194022.925,14359457.999,39411.427
10,2011797.203,7424794.731,9436591.934,26878.593
11,1279420.9,4889158.703,6168579.603,18331.201
12,814265.466,3201070.475,4015335.941,12501.879
13,518742.588,2086485.725,2605228.314,8526.276
14,330806.88,1355184.982,1685991.862,5814.917
15,211161.125,877736.54,1088897.666,3965.771
16,134934.227,567258.514,702192.74,2704.654
17,86321.538,365991.752,452313.29,1844.572
18,55286.445,235841.837,291128.281,1257.997
19,35457.099,151846.665,187303.764,857.953
20,22770.03,97712.93,120482.959,585.123
21,14641.546,62860.111,77501.657,399.054
22,9427.889,40436.862,49864.75,272.154
23,6079.494,26016.548,32096.042,185.609
24,3926.511,16745.138,20671.649,126.585
25,2539.971,10783.574,13323.545,86.331
26,1645.546,6949.036,8594.582,58.878
27,1067.78,4481.668,5549.448,40.155
28,694.035,2893.143,3587.177,27.385
