"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,1150.70399240855,80945.0446723738,82095.7486647823,0
2,12211.2435872854,41472.7986930477,53684.0422803331,0
3,4991.86825586023,19798.8519899012,24790.7202457614,0
4,2053.80115447597,8887.69661888963,10941.4977733656,0
5,880.390022686475,3999.81542043793,4880.20544312441,0
6,402.787448678238,1873.6469257721,2276.43437445034,0
7,198.900673642135,933.582735466891,1132.48340910903,0
8,105.96070541505,496.35438308646,602.31508850151,0
9,59.7384374016721,278.343506703185,338.081944104857,0
10,34.952931871696,161.180258372609,196.133190244305,0
11,20.6912151071399,95.291268475894,115.982483583034,0
12,12.4459917353605,57.0245085950418,69.4705003304023,0
13,7.50623211355283,34.3473110440187,41.8535431575715,0
14,4.54979705263157,20.8360584181293,25.3858554707608,0
15,2.77836249546777,12.7054319794391,15.4837944749068,0
16,1.70039350021544,7.75207430295346,9.4524678031689,0
17,1.03821353607376,4.74547114317597,5.78368467924973,0
18,0.638680196875785,2.91866373660284,3.55734393347863,0
19,0.394235630112661,1.80341587333673,2.19765150344939,0
20,0.244580370847361,1.11680789425686,1.36138826510422,0
21,0.151642585024409,0.69300012086027,0.844642705884679,0
22,0.0943210435210657,0.430507405007715,0.524828448528781,0
23,0.0586311666055469,0.267785012902591,0.326416179508138,0
24,0.0365334687851119,0.16682716657649,0.203360635361602,0
25,0.0227865629197767,0.104023367797388,0.126809930717165,0
26,0.0142188348383413,0.0648524483804593,0.0790712832188006,0
27,0.00886477406089938,0.0404825225953701,0.0493472966562695,0
28,0.00554326920186192,0.0253060356763105,0.0308493048781724,0
