"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,14597587.9479773,16388148.8873138,30985736.8352911,137811.0004839
2,13061364.8739983,1335391.97837866,14396756.852377,123037.661232026
3,11706794.1051502,1789132.31137721,13495926.4165274,109848.023947953
4,10506643.1333305,2136137.24544117,12642780.3787716,98072.3157807322
5,9439203.87014565,2392163.45008857,11831367.3202342,87558.9635290377
6,835036.457996453,2572666.94767413,3407703.40567058,78172.6426387249
7,790665.806119708,2690597.45449132,3481263.26061103,69792.5353478536
8,737187.222601934,2756485.30480238,3493672.52740432,62310.7755585637
9,679797.700650548,2779650.91876716,3459448.6194177,55631.0604186856
10,621863.107158832,2768500.60917743,3390363.71633626,49667.4107418025
11,565513.863492578,2729094.19833794,3294608.06183052,44343.0643102813
12,511969.755461,2667974.53758969,3179944.29305069,39589.4878162192
13,461928.02885984,2590287.56308272,3052215.59194256,35345.4947223205
14,415715.810663996,2500113.64761739,2915829.45828139,31556.4576880877
15,373408.272823127,2400867.64803783,2774275.92086096,28173.6054239247
16,334912.2923013,2295392.33857952,2630304.63088082,25153.39492248
17,300070.422838699,2186039.84108271,2486110.2639214,22456.9509867901
18,268636.638021669,2074742.46910867,2343379.10713034,20049.5658410062
19,240346.375989528,1963074.25914522,2203420.63513475,17900.2523828504
20,214932.369538695,1852304.3263532,2067236.6958919,15981.3453274088
21,192134.51217756,1743443.05655029,1935577.56872785,14268.1451083106
22,171705.714777001,1637282.03112582,1808987.74590282,12738.5999526997
23,153415.092489802,1534428.4774094,1687843.5698992,11373.0220377703
24,137049.39753821,1435334.94332846,1572384.34086667,10153.8340753213
25,122413.321306248,1340324.81138883,1462738.13269508,9065.34306244686
26,109329.088133245,1249614.19237147,1358943.28050471,8093.53828615256
27,97634.8241213112,1163280.43256482,1260915.25668613,7225.91098187701
28,87182.9333573773,1081380.11241151,1168563.04576889,6451.29332461979
